dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],NCBI692,NCBI692.tif,Kidney,Diseased,,Homo sapiens,Patient 22,Visium,12-Oct-22,Creative Commons Attribution 4.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10356613/,                                            ,100,55,370,Fresh Frozen,36601,,0.35277777777777775,0.7594547317282411,20x,11292,10478,Kidney,Acute Kidney Injury (AKI),32-10003,v1_0_0
A single-cell transcriptomic analysis of endometriosis,NCBI691,NCBI691.tif,Uterus,Diseased,,Homo sapiens,,Visium,30-Oct-22,,https://www.nature.com/articles/s41588-022-01254-1,                                            ,100,55,1388,,36601,,,0.5036621589218013,20x,15740,15950,Endometriosis,Endometriosis,"BEME_346, Endometriosis",v1_0_0
A single-cell transcriptomic analysis of endometriosis,NCBI690,NCBI690.tif,Uterus,Diseased,,Homo sapiens,,Visium,30-Oct-22,,https://www.nature.com/articles/s41588-022-01254-1,                                            ,100,55,1960,,36601,,,0.5031439464597934,20x,16033,16243,Endometriosis,Endometriosis,"BEME_355G, Endometriosis",v1_0_0
A cellular hierarchy in melanoma uncouples growth and metastasis,NCBI689,NCBI689.tif,Skin,Cancer,SKCM,Mus musculus,,Visium,12-Jul-22,,https://www.nature.com/articles/s41586-022-05242-7,                                            ,100,55,4992,,31053,,0.9600006144003932,0.9484392591852231,20x,9792,9727,Skin,,Visium melanoma_2,v1_0_0
A cellular hierarchy in melanoma uncouples growth and metastasis,NCBI688,NCBI688.tif,Skin,Cancer,SKCM,Mus musculus,,Visium,12-Jul-22,,https://www.nature.com/articles/s41586-022-05242-7,                                            ,100,55,4992,,31053,,0.9600006144003932,0.9472957743349498,20x,9792,9727,Skin,,Visium melanoma_3,v1_0_0
A cellular hierarchy in melanoma uncouples growth and metastasis,NCBI687,NCBI687.tif,Skin,Cancer,SKCM,Mus musculus,,Visium,12-Jul-22,,https://www.nature.com/articles/s41586-022-05242-7,                                            ,100,55,4992,,31053,,0.9600006144003932,0.9490923367475711,20x,9792,9727,Skin,,Visium melanoma_4,v1_0_0
10X Visium Spatial transcriptomics of murine colon at d14 (mucosa healing) in B cell sufficient-deficient mice,NCBI686,NCBI686.tif,Bowel,Treated,,Mus musculus,,Visium,10-Dec-21,,,                                            ,100,55,3934,,31053,DSS control,0.35277777777777775,0.970632125,20x,10524,10215,Colon,,Colon DSS day14 control,v1_0_0
10X Visium Spatial transcriptomics of murine colon at d14 (mucosa healing) in B cell sufficient-deficient mice,NCBI685,NCBI685.tif,Bowel,Treated,,Mus musculus,,Visium,10-Dec-21,,,                                            ,100,55,3547,,31053,DSS B-cells depleted,0.35277777777777775,0.9701492368472024,20x,10502,10194,Colon,,Colon DSS day14 B cell depleted (BCD),v1_0_0
Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients,NCBI684,NCBI684.tif,Lymph node,Cancer,IDC,Homo sapiens,Patient 3,Visium,30-Apr-22,,https://www.nature.com/articles/s41467-022-34581-2,                                            ,100,55,4992,Fresh Frozen,33931,,,0.2734752041027168,40x,30014,30174,Lymph node,,PT_3 LNM ST,v1_0_0
Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients,NCBI683,NCBI683.tif,Lymph node,Cancer,IDC,Homo sapiens,Patient 6,Visium,30-Apr-22,,https://www.nature.com/articles/s41467-022-34581-2,                                            ,100,55,4992,Fresh Frozen,33931,,,0.27342323372038535,40x,29616,30094,Lymph node,,PT_6 LNM ST,v1_0_0
Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients,NCBI682,NCBI682.tif,Lymph node,Cancer,IDC,Homo sapiens,Patient 7,Visium,30-Apr-22,,https://www.nature.com/articles/s41467-022-34581-2,                                            ,100,55,4988,Fresh Frozen,33931,,,0.27387595395001135,40x,30014,30254,Lymph node,,PT_7 LNM ST,v1_0_0
Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients,NCBI681,NCBI681.tif,Lymph node,Cancer,IDC,Homo sapiens,Patient 8,Visium,30-Apr-22,,https://www.nature.com/articles/s41467-022-34581-2,                                            ,100,55,4992,Fresh Frozen,33931,,,0.27389190902195165,40x,30414,29935,Lymph node,,PT_8 LNM ST,v1_0_0
Spatial sequencing of Foreign body granuloma,NCBI680,NCBI680.tif,,Diseased,,Mus musculus,,Visium,17-May-22,,https://www.sciencedirect.com/science/article/pii/S0022202X22016669?via%3Dihub,                                            ,100,55,2772,Fresh Frozen,15524,,,3.235653557304717,10x,2600,2787,"Foriegn body granuloma, Sponge_2 wks",Foreign Body Granuloma,CMC_Visium_Sponge_2 wks,v1_0_0
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,NCBI675,NCBI675.tif,Liver,Diseased,,Homo sapiens,,Visium,6-Oct-23,,https://pubmed.ncbi.nlm.nih.gov/38199298/,                                            ,100,55,4992,,36601,,0.3037764691523687,0.30411831973267023,40x,25205,25741,Liver,PSC,C73_A1_VISIUM,v1_0_0
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,NCBI674,NCBI674.tif,Liver,Diseased,,Homo sapiens,,Visium,6-Oct-23,,https://pubmed.ncbi.nlm.nih.gov/38199298/,                                            ,100,55,4992,,36601,,0.3037764691523687,0.30406778737432455,40x,25360,25840,Liver,PSC,C73_B1_VISIUM,v1_0_0
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,NCBI673,NCBI673.tif,Liver,Diseased,,Homo sapiens,,Visium,6-Oct-23,,https://pubmed.ncbi.nlm.nih.gov/38199298/,                                            ,100,55,4992,,36601,,0.3037764691523687,0.30410154982197585,40x,25507,26036,Liver,PSC,C73_C1_VISIUM,v1_0_0
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,NCBI672,NCBI672.tif,Liver,Diseased,,Homo sapiens,,Visium,6-Oct-23,,https://pubmed.ncbi.nlm.nih.gov/38199298/,                                            ,100,55,4992,,36601,,0.3037764691523687,0.3040689918372725,40x,25369,25921,Liver,PSC,C73_D1_VISIUM,v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI671,NCBI671.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,2856,Fresh Frozen,32285,,,0.17217245949084609,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, DHB (V11L12-038_A1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI670,NCBI670.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3002,Fresh Frozen,32285,,,0.1721498483719202,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, DHB (V11L12-038_B1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI669,NCBI669.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3163,Fresh Frozen,32285,,,0.17217932728435723,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, iCTRL (V11L12-038_C1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI668,NCBI668.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,2913,Fresh Frozen,32285,,,0.1721169262794184,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, 9-AA (V11L12-038_D1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI667,NCBI667.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,2675,Fresh Frozen,32285,,,0.17124339390992604,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse1, FMP-10 (V11L12-109_A1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI666,NCBI666.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3120,Fresh Frozen,32285,,,0.17244031702085463,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, FMP-10 (V11L12-109_B1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI665,NCBI665.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,2918,Fresh Frozen,32285,,,0.1727518059215985,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse4, FMP-10 (V11L12-109_C1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI664,NCBI664.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3017,Fresh Frozen,32285,,,0.1723883328299366,40x,47616,48128,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, FMP-10_iCTRL (V11L12-109_D1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI663,NCBI663.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,2964,Fresh Frozen,32285,,,0.1722297886255209,40x,47616,48128,Brain,,"mouse brain, Substantia Nigra, 6-OHDA, mouse1, FMP-10 (V11T16-085_A1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI662,NCBI662.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3357,Fresh Frozen,32285,,,0.17223543496065852,40x,47616,48128,Brain,,"mouse brain, Substantia Nigra, 6-OHDA, mouse3, FMP-10 (V11T16-085_B1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI661,NCBI661.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3601,Fresh Frozen,32285,,,0.1724196955946494,40x,47616,48128,Brain,,"mouse brain, Substantia Nigra, 6-OHDA, mouse4, FMP-10 (V11T16-085_C1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI660,NCBI660.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3504,Fresh Frozen,32285,,,0.1718208709604569,40x,47616,48128,Brain,,"mouse brain, Substantia Nigra, 6-OHDA, mouse4, FMP-10_iCTRL (V11T16-085_D1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI659,NCBI659.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3617,Fresh Frozen,32285,,,0.17213773265226173,40x,48640,47104,Brain,,"mouse brain, Substantia Nigra, 6-OHDA, mouse1, Visium (V11T17-101_A1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI658,NCBI658.tif,Brain,Healthy,,Mus musculus,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3116,Fresh Frozen,32285,,,0.17206704138162449,40x,48640,47104,Brain,,"mouse brain, Striatum, 6-OHDA, mouse3, Visium (V11T17-101_B1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI657,NCBI657.tif,Brain,Diseased,,Homo sapiens,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,3900,Fresh Frozen,36601,,,0.17162446119870678,40x,48640,47104,Brain,PD in Braak stage 3,"human post-mortem brain, Striatum, PD, Visium (V11T17-101_D1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI656,NCBI656.tif,Brain,Diseased,,Homo sapiens,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,4968,Fresh Frozen,17943,,,0.1718637865055042,40x,48640,47104,Brain,PD in Braak stage 3,"human post-mortem brain, Striatum, PD, FMP-10 (V11T17-102_A1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI655,NCBI655.tif,Brain,Diseased,,Homo sapiens,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,4984,Fresh Frozen,17943,,,0.17227311717903346,40x,48640,47104,Brain,PD in Braak stage 3,"human post-mortem brain, Striatum, PD, FMP-10 (V11T17-102_B1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI654,NCBI654.tif,Brain,Diseased,,Homo sapiens,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,4868,Fresh Frozen,17943,,,0.17221885725000452,40x,48640,47104,Brain,PD in Braak stage 3,"human post-mortem brain, Striatum, PD, FMP-10 (V11T17-102_C1)",v1_0_0
Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,NCBI653,NCBI653.tif,Brain,Diseased,,Homo sapiens,,Visium,21-May-23,,https://www.nature.com/articles/s41587-023-01937-y,                                            ,100,55,4633,Fresh Frozen,17943,,,0.172271829,40x,48640,47104,Brain,PD in Braak stage 3,"human post-mortem brain, Striatum, PD, FMP-10 (V11T17-102_D1)",v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI652,NCBI652.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,Uninjured Notexin,0.084666667,0.5619190851641953,20x,15111,14602,Hindlimb muscle,,STRS_2A,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI651,NCBI651.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,Uninjured Notexin,0.084666667,0.5620058736142484,20x,15120,14604,Hindlimb muscle,,STRS_2B,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI650,NCBI650.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,Ntx_2dpi Notexin,0.084666667,0.5628276633282022,20x,15152,15153,Hindlimb muscle,,STRS_2D,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI649,NCBI649.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,mock_7dpi Mock/saline injection,0.084666667,0.56308588,20x,16642,17075,Hindlimb muscle,,STRS_3A,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI648,NCBI648.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,T1L,0.084666667,0.5629582562320702,20x,14536,15062,Hindlimb muscle,,STRS_3B,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI647,NCBI647.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,Ntx_7dpi Notexin,0.084666667,0.564438684,20x,14812,14277,Hindlimb muscle,,STRS_3C,v1_0_0
Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,NCBI646,NCBI646.tif,Muscle,Treated,,Mus musculus,,Visium,20-Apr-22,,https://www.nature.com/articles/s41587-022-01517-6,                                            ,100,55,4992,Fresh Frozen,55414,Ntx_7dpi Notexin,0.084666667,0.564830454,20x,14813,14279,Hindlimb muscle,,STRS_3D,v1_0_0
Identification of TREM1+CD163+ myeloid cells as a deleterious immune subset in HCC [Spatial Transcriptomics],NCBI643,NCBI643.tif,Liver,Cancer,HCC,Homo sapiens,Patient a,Visium,4-Feb-24,,https://www.biorxiv.org/content/10.1101/2022.11.09.515839v1.full,                                            ,100,55,2261,Fresh Frozen,36601,,0.45425638230217136,0.4539563409112828,40x,23848,24936,Liver,,"CHC20, tumor",v1_0_0
Identification of TREM1+CD163+ myeloid cells as a deleterious immune subset in HCC [Spatial Transcriptomics],NCBI642,NCBI642.tif,Liver,Cancer,HCC,Homo sapiens,Patient b,Visium,4-Feb-24,,https://www.biorxiv.org/content/10.1101/2022.11.09.515839v1.full,                                            ,100,55,1987,Fresh Frozen,36601,,0.45425638230217136,0.45340623314164546,40x,25400,25856,Liver,,"CHC23, tumor",v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI641,NCBI641.tif,Brain,Cancer,EPM,Homo sapiens,Patient 459,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,2236,,36601,,0.4714289928824103,0.4710852190185949,40x,17546,17209,Brain,PFA,surgically resected tumor 459,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI640,NCBI640.tif,Brain,Cancer,EPM,Homo sapiens,Patient 723,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,1959,,36601,,0.000799366,0.7995101838635718,20x,9916,10150,Brain,PFA,surgically resected tumor 723,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI639,NCBI639.tif,Brain,Cancer,EPM,Homo sapiens,Patient 727,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,979,,36601,,0.000616465,0.6149157620583529,20x,12838,13152,Brain,PFA,surgically resected tumor 727,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI638,NCBI638.tif,Brain,Cancer,EPM,Homo sapiens,Patient 812,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,3060,,36601,,0.000799882,0.7994305687817398,20x,9915,10151,Brain,PFA,surgically resected tumor 812,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI637,NCBI637.tif,Brain,Cancer,EPM,Homo sapiens,Patient 459,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,2705,,36601,,0.4714289928824103,0.47108521901859357,40x,17546,17209,Brain,PFA,surgically resected tumor 459_2,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI636,NCBI636.tif,Brain,Cancer,EPM,Homo sapiens,Patient 723,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,1616,,36601,,0.00079962,0.7971437082528633,20x,9909,10157,Brain,PFA,surgically resected tumor 723_2,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI635,NCBI635.tif,Brain,Cancer,EPM,Homo sapiens,Patient 821,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,3027,,36601,,0.000799546,0.7984433414371827,20x,9913,10152,Brain,PFA,surgically resected tumor 821,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI634,NCBI634.tif,Brain,Cancer,EPM,Homo sapiens,Patient 848,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,1842,,36601,,0.000616465,0.6142163415938063,20x,12838,13152,Brain,PFA,surgically resected tumor 848,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI633,NCBI633.tif,Brain,Cancer,EPM,Homo sapiens,Patient 1101,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,3153,,36601,,0.000616465,0.6142188488743092,20x,12838,13152,Brain,PFA,surgically resected tumor 1101,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI632,NCBI632.tif,Brain,Cancer,EPM,Homo sapiens,Patient 1269,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,2743,,36601,,0.000799707,0.7991952831504877,20x,9911,10154,Brain,PFA,surgically resected tumor 1269,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI631,NCBI631.tif,Brain,Cancer,EPM,Homo sapiens,Patient 928,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,2051,,36601,,0.000799421,0.7983647003122499,20x,9913,10153,Brain,PFA,surgically resected tumor 928,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI630,NCBI630.tif,Brain,Cancer,EPM,Homo sapiens,Patient 1239,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,2961,,36601,,0.000616465,0.6149135114270557,20x,12838,13152,Brain,PFA,surgically resected tumor 1239,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI629,NCBI629.tif,Brain,Cancer,EPM,Homo sapiens,Patient 1513,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,3620,,36601,,0.000799645,0.7981273203817946,20x,9911,10156,Brain,PFA,surgically resected tumor 1513,v1_0_0
Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,NCBI628,NCBI628.tif,Brain,Cancer,EPM,Homo sapiens,Patient 928,Visium,13-Oct-22,,https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,                                            ,100,55,1262,,36601,,0.000800043,0.7975344758229783,20x,9913,10152,Brain,PFA,surgically resected tumor 928_2,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI627,NCBI627.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.890600251,20x,9897,10000,Liver,,NEJ146-A,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI626,NCBI626.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.9228779106480135,20x,9560,10000,Liver,,NEJ146-B,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI625,NCBI625.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.8917145326600151,20x,9898,10000,Liver,,NEJ146-C,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI624,NCBI624.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.9228995880061721,20x,9560,10000,Liver,,NEJ146-D,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI623,NCBI623.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.8899499167328211,20x,9894,10000,Liver,,NEJ634_A,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI622,NCBI622.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.9221821194440535,20x,9550,10000,Liver,,NEJ638_C,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI621,NCBI621.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4989,,31053,,,0.8901031708934755,20x,9896,10000,Liver,,NEJ723_A,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI620,NCBI620.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.8899508138159877,20x,9899,10000,Liver,,NEJ654_D,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI619,NCBI619.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4991,,31053,,,0.904298883,20x,10000,9837,Liver,,NEJ677_D,v1_0_0
mousemodel_Heptablastoma spatial transcriptomics,NCBI618,NCBI618.tif,Liver,Cancer,LIHB,Mus musculus,,Visium,9-Jun-23,,https://www.nature.com/articles/s41467-023-39717-6,                                            ,100,55,4992,,31053,,,0.8855223632597184,20x,9885,10000,Liver,,NEJ687_C,v1_0_0
"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",NCBI603,NCBI603.tif,Bladder,Cancer,BLCA,Homo sapiens,Patient 1,Visium,4-Jun-21,,,                                            ,100,55,768,,33538,,,0.48770771214772035,40x,17496,16208,Bladder,,MIBC_B1204,v1_0_0
"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",NCBI602,NCBI602.tif,Bladder,Cancer,BLCA,Homo sapiens,Patient 2,Visium,4-Jun-21,,,                                            ,100,55,1017,,33538,,,0.4882924935771555,40x,17496,16208,Bladder,,MIBC_B8,v1_0_0
"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",NCBI601,NCBI601.tif,Bladder,Cancer,BLCA,Homo sapiens,Patient 3,Visium,4-Jun-21,,,                                            ,100,55,1469,,33538,,,0.49005528236263135,40x,17496,16208,Bladder,,MIBC_B72,v1_0_0
